Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.075,-140.85,-90,top
C2,0.33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.05,-103.5,90,top
C3,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.075,-144.85,90,top
C4,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131,-99.75,-90,top
C5,0.33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.675,-144.7625,90,top
C6,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.675,-140.9,-90,top
C7,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.8,-99.5,0,top
C8,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.8,-101.5,0,top
C9,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.8,-103.5,0,top
C10,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112,-99.5,0,top
C11,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112,-101.5,0,top
C12,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112,-103.7,0,top
C13,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.2,-120.875,0,top
C14,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.2,-122.875,0,top
C15,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.2,-124.875,0,top
C16,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126,-120.875,180,top
C17,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126,-122.875,180,top
C18,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126,-124.875,180,top
C19,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,147.3625,-136,180,top
CAN_Debug1,CQY99,LED_PLCC-2_3.4x3.0mm_AK,83.65,-136.425,90,top
CAN_LAN1,RJ45,RJ45_43860-0004,98.1,-153.625,180,top
CAN_Recieber1,MCP2561-E-P,DIP-8_W7.62mm,100.25,-129.025,90,top
D1,D,D_1206_3216Metric_Pad1.42x1.75mm_HandSolder,147.3625,-132.8,0,top
Diso_Debug1,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,66.5,-90.8,180,top
ENC_conn_0,Conn_01x05_Female,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,59.95,-147,-90,top
ENC_conn_1,Conn_01x05_Female,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,59.95,-131,-90,top
ENC_conn_2,Conn_01x05_Female,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,59.95,-115,-90,top
ENC_conn_3,Conn_01x05_Female,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,59.95,-99,-90,top
ENC_conn_4,Conn_01x05_Female,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,60,-83,-90,top
ENC_conn_5,Conn_01x05_Female,JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,60,-67,-90,top
LED_Blue1,CQY99,LED_PLCC-2_3.4x3.0mm_AK,74.0875,-99.3,-90,top
LED_Green1,CQY99,LED_PLCC-2_3.4x3.0mm_AK,80.0875,-99.3,-90,top
LED_Red1,CQY99,LED_PLCC-2_3.4x3.0mm_AK,86.25,-99,-90,top
Load1,Conn_01x02_Female,AMASS_XT60-F_1x02_P7.20mm_Vertical,137.65,-100.75,0,top
Load_5V1,L7805,TO-252-3_TabPin2,124.05,-101.72,180,top
Load_Debug1,CQY99,LED_PLCC-2_3.4x3.0mm_AK,116.3,-102.5,90,top
MD_Iso_0,ADuM1401xRW,SOIC-16W_7.5x10.3mm_P1.27mm,74.39,-85.55,0,top
MD_Iso_1,ADuM1401xRW,SOIC-16W_7.5x10.3mm_P1.27mm,87.89,-85.55,0,top
MD_Iso_2,ADuM1401xRW,SOIC-16W_7.5x10.3mm_P1.27mm,101.89,-85.55,0,top
MD_Iso_3,ADuM1401xRW,SOIC-16W_7.5x10.3mm_P1.27mm,115.74,-85.55,0,top
