Designator,Mid X,Mid Y,Rotation,Layer
C1,122.075,-140.85,270.0,top
C10,112.0,-99.5,0.0,top
C11,112.0,-101.5,0.0,top
C12,112.0,-103.7,0.0,top
C13,124.4625,-113.2,0.0,top
C14,124.4625,-115.2,0.0,top
C15,124.4625,-117.2,0.0,top
C16,129.2625,-113.2,180.0,top
C17,129.2625,-115.2,180.0,top
C18,129.2625,-117.2,180.0,top
C19,146.5125,-136.0,180.0,top
C2,131.05,-103.5,90.0,top
C20,97.0,-135.5,270.0,top
C3,122.075,-144.85,90.0,top
C4,131.0,-99.75,270.0,top
C5,119.675,-144.7625,90.0,top
C6,119.675,-140.9,270.0,top
C7,107.8,-99.5,0.0,top
C8,107.8,-101.5,0.0,top
C9,107.8,-103.5,0.0,top
CAN_LAN1,91.75,-151.125,180.0,top
CAN_Recieber1,88.8,-135.6,90.0,top
D1,146.5125,-132.8,0.0,top
Diso_Debug1,66.5,-87.0,180.0,top
ENC_conn_0,56.5,-152.0,270.0,top
ENC_conn_1,56.5,-136.0,270.0,top
ENC_conn_2,56.5,-120.0,270.0,top
ENC_conn_3,56.5,-104.0,270.0,top
ENC_conn_4,56.55,-88.0,270.0,top
ENC_conn_5,56.55,-72.0,270.0,top
J1,118.4,-119.2,0.0,top
J2,148.0,-155.4,0.0,top
LED_Blue1,74.0875,-99.3,270.0,top
LED_Green1,80.0875,-99.3,270.0,top
LED_Red1,86.25,-99.0,270.0,top
Load1,141.25,-100.75,0.0,top
Load_5V1,124.05,-101.72,180.0,top
Load_Debug1,116.3,-102.5,90.0,top
MD_Iso_0,74.39,-85.55,0.0,top
MD_Iso_1,87.89,-85.55,0.0,top
MD_Iso_2,101.89,-85.55,0.0,top
MD_Iso_3,115.74,-85.55,0.0,top
MD_Iso_4,128.34,-85.55,0.0,top
MD_Iso_5,142.14,-85.6,0.0,top
MD_conn_0,75.39,-66.55,180.0,top
MD_conn_1,88.89,-66.55,180.0,top
MD_conn_2,102.39,-66.55,180.0,top
MD_conn_3,115.89,-66.55,180.0,top
MD_conn_4,129.39,-66.55,180.0,top
MD_conn_5,142.89,-66.55,180.0,top
